seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1_h1	4038642	4038642	1	*	wt_H3K4me3_peak_111	149	.	Distal Intergenic	1	4087891	4088422	532	2	h1SMcG0000117	h1SMcT0000117.1	49780
chr1_h1	4040633	4040633	1	*	wt_H3K4me3_peak_112	4775	.	Distal Intergenic	1	4087891	4088422	532	2	h1SMcG0000117	h1SMcT0000117.1	47789
chr1_h1	4371800	4371800	1	*	wt_H3K4me3_peak_116	744	.	Promoter (<=1kb)	1	4369345	4371078	1734	2	h1SMcG0000131	h1SMcT0000131.1	-722
chr1_h1	4372263	4372263	1	*	wt_H3K4me3_peak_117	771	.	Promoter (1-2kb)	1	4369345	4371078	1734	2	h1SMcG0000131	h1SMcT0000131.1	-1185
chr1_h1	4786114	4786114	1	*	wt_H3K4me3_peak_121	875	.	Promoter (1-2kb)	1	4695301	4787736	92436	2	h1SMcG0000138	h1SMcT0000138.8	1622
chr1_h1	4839559	4839559	1	*	wt_H3K4me3_peak_122	2650	.	Promoter (1-2kb)	1	4786509	4840949	54441	2	h1SMcG0000138	h1SMcT0000138.26	1390
chr1_h1	5269594	5269594	1	*	wt_H3K4me3_peak_128	314	.	Distal Intergenic	1	5282694	5365493	82800	1	h1SMcG0000149	h1SMcT0000149.1	-13100
chr1_h1	5584607	5584607	1	*	wt_H3K4me3_peak_136	26	.	Intron (h1SMcT0000155.1/h1SMcG0000155, intron 12 of 21)	1	5566624	5601736	35113	1	h1SMcG0000155	h1SMcT0000155.1	17983
chr1_h1	5926938	5926938	1	*	wt_H3K4me3_peak_142	399	.	Promoter (<=1kb)	1	5926699	5928043	1345	1	h1SMnG0000252	h1SMnT0000252.1	239
chr1_h1	6432367	6432367	1	*	wt_H3K4me3_peak_154	1723	.	Distal Intergenic	1	6413814	6416399	2586	2	h1SMcG0000171	h1SMcT0000171.1	-15968
chr1_h1	6948350	6948350	1	*	wt_H3K4me3_peak_163	1495	.	Promoter (<=1kb)	1	6947499	6952126	4628	1	h1SMcG0000190	h1SMcT0000190.1	851
chr1_h1	7262645	7262645	1	*	wt_H3K4me3_peak_169	2062	.	Promoter (<=1kb)	1	7262248	7262860	613	1	h1SMnG0000304	h1SMnT0000304.3	397
chr1_h1	7441565	7441565	1	*	wt_H3K4me3_peak_173	189	.	Distal Intergenic	1	7443674	7449809	6136	2	h1SMcG0000203	h1SMcT0000203.1	8244
chr1_h1	7583334	7583334	1	*	wt_H3K4me3_peak_178	427	.	Distal Intergenic	1	7496822	7503894	7073	1	h1SMnG0000316	h1SMnT0000316.8	86512
chr1_h1	7790764	7790764	1	*	wt_H3K4me3_peak_181	507	.	Distal Intergenic	1	7797132	7814560	17429	2	h1SMcG0000210	h1SMcT0000210.1	23796
chr1_h1	8123521	8123521	1	*	wt_H3K4me3_peak_187	4985	.	Promoter (<=1kb)	1	8113165	8123889	10725	2	h1SMcG0000220	h1SMcT0000220.1	368
chr1_h1	8306621	8306621	1	*	wt_H3K4me3_peak_194	104	.	Promoter (<=1kb)	1	8305738	8307094	1357	1	h1SMcG0000228	h1SMcT0000228.1	883
chr1_h1	8597065	8597065	1	*	wt_H3K4me3_peak_200	53	.	Promoter (<=1kb)	1	8594097	8597990	3894	2	h1SMcG0000237	h1SMcT0000237.1	925
chr1_h1	8690517	8690517	1	*	wt_H3K4me3_peak_204	577	.	Promoter (2-3kb)	1	8679839	8692554	12716	2	h1SMcG0000239	h1SMcT0000239.1	2037
chr1_h1	8800009	8800009	1	*	wt_H3K4me3_peak_206	349	.	Distal Intergenic	1	8693042	8698707	5666	1	h1SMcG0000240	h1SMcT0000240.3	106967
chr1_h1	8853844	8853844	1	*	wt_H3K4me3_peak_207	600	.	Distal Intergenic	1	8913347	8914008	662	2	h1SMcG0000245	h1SMcT0000245.1	60164
chr1_h1	9054409	9054409	1	*	wt_H3K4me3_peak_209	312	.	Promoter (<=1kb)	1	9049535	9054745	5211	2	h1SMcG0000250	h1SMcT0000250.1	336
chr1_h1	9227571	9227571	1	*	wt_H3K4me3_peak_215	7491	.	Intron (h1SMcT0000258.1/h1SMcG0000258, intron 2 of 2)	1	9215332	9231874	16543	1	h1SMcG0000258	h1SMcT0000258.1	12239
chr1_h1	9380906	9380906	1	*	wt_H3K4me3_peak_217	836	.	Promoter (<=1kb)	1	9380371	9393635	13265	1	h1SMcG0000262	h1SMcT0000262.1	535
chr1_h1	10515439	10515439	1	*	wt_H3K4me3_peak_248	61	.	Promoter (<=1kb)	1	10515022	10516572	1551	1	h1SMnG0000458	h1SMnT0000458.9	417
chr1_h1	12236806	12236806	1	*	wt_H3K4me3_peak_275	57	.	Distal Intergenic	1	12247368	12247873	506	2	h1SMnG0000544	h1SMnT0000544.1	11067
chr1_h1	12801693	12801693	1	*	wt_H3K4me3_peak_293	424	.	Distal Intergenic	1	12812321	12813202	882	1	h1SMcG0000370	h1SMcT0000370.1	-10628
chr1_h1	12915712	12915712	1	*	wt_H3K4me3_peak_298	68	.	Promoter (<=1kb)	1	12915484	12916885	1402	1	h1SMcG0000373	h1SMcT0000373.1	228
chr1_h1	12994656	12994656	1	*	wt_H3K4me3_peak_300	155	.	Promoter (1-2kb)	1	12994628	12995762	1135	2	h1SMcG0000376	h1SMcT0000376.1	1106
chr1_h1	13083235	13083235	1	*	wt_H3K4me3_peak_303	641	.	Intron (h1SMcT0000382.1/h1SMcG0000382, intron 43 of 57)	1	13070292	13070661	370	1	h1SMcG0000381	h1SMcT0000381.1	12943
chr1_h1	13260558	13260558	1	*	wt_H3K4me3_peak_306	52	.	Promoter (<=1kb)	1	13259183	13260648	1466	2	h1SMnG0000602	h1SMnT0000602.2	90
chr1_h1	13294607	13294607	1	*	wt_H3K4me3_peak_307	186	.	Promoter (<=1kb)	1	13294271	13302518	8248	1	h1SMcG0000388	h1SMcT0000388.1	336
chr1_h1	13923833	13923833	1	*	wt_H3K4me3_peak_314	290	.	Promoter (<=1kb)	1	13923105	13924113	1009	1	h1SMnG0000623	h1SMnT0000623.1	728
chr1_h1	14335947	14335947	1	*	wt_H3K4me3_peak_317	72	.	Distal Intergenic	1	14343693	14344672	980	2	h1SMcG0000413	h1SMcT0000413.1	8725
chr1_h1	15721400	15721400	1	*	wt_H3K4me3_peak_331	1590	.	Promoter (<=1kb)	1	15721249	15751278	30030	1	h1SMcG0000438	h1SMcT0000438.2	151
chr1_h1	15776386	15776386	1	*	wt_H3K4me3_peak_332	201	.	Distal Intergenic	1	15782228	15795481	13254	1	h1SMcG0000439	h1SMcT0000439.1	-5842
chr1_h1	15787778	15787778	1	*	wt_H3K4me3_peak_334	271	.	Intron (h1SMcT0000439.1/h1SMcG0000439, intron 8 of 11)	1	15782228	15795481	13254	1	h1SMcG0000439	h1SMcT0000439.1	5550
chr1_h1	15876617	15876617	1	*	wt_H3K4me3_peak_336	129	.	Promoter (<=1kb)	1	15828879	15876816	47938	2	h1SMcG0000440	h1SMcT0000440.2	199
chr1_h1	15877176	15877176	1	*	wt_H3K4me3_peak_337	77	.	Promoter (<=1kb)	1	15828879	15876816	47938	2	h1SMcG0000440	h1SMcT0000440.2	-360
chr1_h1	16376795	16376795	1	*	wt_H3K4me3_peak_344	225	.	Distal Intergenic	1	16378542	16382566	4025	2	h1SMcG0000454	h1SMcT0000454.1	5771
chr1_h1	16855660	16855660	1	*	wt_H3K4me3_peak_357	169	.	Distal Intergenic	1	16779858	16782309	2452	2	h1SMnG0000718	h1SMnT0000718.1	-73351
chr1_h1	17006779	17006779	1	*	wt_H3K4me3_peak_358	695	.	Promoter (<=1kb)	1	17006226	17010633	4408	1	h1SMcG0000466	h1SMcT0000466.1	553
chr1_h1	17647924	17647924	1	*	wt_H3K4me3_peak_367	47	.	Distal Intergenic	1	17597606	17617887	20282	2	h1SMcG0000473	h1SMcT0000473.4	-30037
chr1_h1	17982242	17982242	1	*	wt_H3K4me3_peak_377	105	.	Distal Intergenic	1	18003233	18036312	33080	1	h1SMcG0000485	h1SMcT0000485.1	-20991
chr1_h1	18083462	18083462	1	*	wt_H3K4me3_peak_380	97	.	Promoter (<=1kb)	1	18083366	18121208	37843	1	h1SMcG0000487	h1SMcT0000487.1	96
chr1_h1	19019159	19019159	1	*	wt_H3K4me3_peak_393	97	.	Exon (h1SMcT0000502.1/h1SMcG0000502, exon 3 of 4)	1	19016072	19023588	7517	1	h1SMcG0000502	h1SMcT0000502.1	3087
chr1_h1	19063928	19063928	1	*	wt_H3K4me3_peak_394	369	.	Distal Intergenic	1	19068467	19097684	29218	2	h1SMcG0000504	h1SMcT0000504.1	33756
chr1_h1	19652020	19652020	1	*	wt_H3K4me3_peak_413	300	.	Distal Intergenic	1	19657628	19676341	18714	1	h1SMcG0000522	h1SMcT0000522.1	-5608
chr1_h1	21301801	21301801	1	*	wt_H3K4me3_peak_440	64	.	Distal Intergenic	1	21314013	21359131	45119	1	h1SMcG0000560	h1SMcT0000560.1	-12212
chr1_h1	21439492	21439492	1	*	wt_H3K4me3_peak_446	80	.	Intron (h1SMcT0000564.1/h1SMcG0000564, intron 4 of 11)	1	21434001	21460476	26476	1	h1SMcG0000564	h1SMcT0000564.2	5491
chr1_h1	21589868	21589868	1	*	wt_H3K4me3_peak_452	159	.	Distal Intergenic	1	21586028	21588712	2685	1	h1SMcG0000569	h1SMcT0000569.1	3840
chr1_h1	21795462	21795462	1	*	wt_H3K4me3_peak_458	145	.	Promoter (<=1kb)	1	21781202	21796399	15198	2	h1SMcG0000580	h1SMcT0000580.1	937
chr1_h1	21796238	21796238	1	*	wt_H3K4me3_peak_459	332	.	Promoter (<=1kb)	1	21781202	21796399	15198	2	h1SMcG0000580	h1SMcT0000580.1	161
chr1_h1	21797433	21797433	1	*	wt_H3K4me3_peak_461	104	.	Promoter (1-2kb)	1	21781202	21796399	15198	2	h1SMcG0000580	h1SMcT0000580.1	-1034
chr1_h1	22446727	22446727	1	*	wt_H3K4me3_peak_468	220	.	Promoter (<=1kb)	1	22446054	22461506	15453	1	h1SMcG0000592	h1SMcT0000592.1	673
chr1_h1	23395708	23395708	1	*	wt_H3K4me3_peak_470	87	.	Distal Intergenic	1	23400622	23498168	97547	1	h1SMcG0000612	h1SMcT0000612.1	-4914
chr1_h1	24009328	24009328	1	*	wt_H3K4me3_peak_478	312	.	Promoter (<=1kb)	1	24009236	24043794	34559	1	h1SMcG0000620	h1SMcT0000620.1	92
chr1_h1	25226493	25226493	1	*	wt_H3K4me3_peak_499	39	.	Distal Intergenic	1	25295665	25305113	9449	1	h1SMcG0000641	h1SMcT0000641.1	-69172
chr1_h1	25444984	25444984	1	*	wt_H3K4me3_peak_504	520	.	Promoter (<=1kb)	1	25444341	25445398	1058	2	h1SMnG0001077	h1SMnT0001077.1	414
chr1_h1	25618457	25618457	1	*	wt_H3K4me3_peak_508	735	.	Distal Intergenic	1	25625656	25626368	713	2	h1SMcG0000655	h1SMcT0000655.1	7911
chr1_h1	26357656	26357656	1	*	wt_H3K4me3_peak_526	147	.	Intron (h1SMcT0000678.1/h1SMcG0000678, intron 9 of 17)	1	26314666	26391727	77062	2	h1SMcG0000678	h1SMcT0000678.1	34071
chr1_h1	26371911	26371911	1	*	wt_H3K4me3_peak_527	243	.	Intron (h1SMcT0000678.1/h1SMcG0000678, intron 5 of 17)	1	26314666	26391727	77062	2	h1SMcG0000678	h1SMcT0000678.1	19816
chr1_h1	26391617	26391617	1	*	wt_H3K4me3_peak_528	93	.	Promoter (<=1kb)	1	26314666	26391727	77062	2	h1SMcG0000678	h1SMcT0000678.1	110
chr1_h1	27187572	27187572	1	*	wt_H3K4me3_peak_543	627	.	Distal Intergenic	1	27182837	27184475	1639	2	h1SMnG0001148	h1SMnT0001148.7	-3097
chr1_h1	27368461	27368461	1	*	wt_H3K4me3_peak_551	47	.	Promoter (<=1kb)	1	27303334	27368626	65293	2	h1SMcG0000699	h1SMcT0000699.2	165
chr1_h1	27577261	27577261	1	*	wt_H3K4me3_peak_555	247	.	Intron (h1SMcT0000704.1/h1SMcG0000704, intron 4 of 9)	1	27582623	27614756	32134	1	h1SMcG0000704	h1SMcT0000704.2	-5362
chr1_h1	27590443	27590443	1	*	wt_H3K4me3_peak_557	626	.	Intron (h1SMcT0000704.1/h1SMcG0000704, intron 7 of 9)	1	27582623	27614756	32134	1	h1SMcG0000704	h1SMcT0000704.2	7820
chr1_h1	28248741	28248741	1	*	wt_H3K4me3_peak_568	584	.	Promoter (<=1kb)	1	28245517	28247866	2350	2	h1SMnG0001186	h1SMnT0001186.2	-875
chr1_h1	28538983	28538983	1	*	wt_H3K4me3_peak_573	50	.	Intron (h1SMcT0000727.1/h1SMcG0000727, intron 1 of 1)	1	28521422	28551881	30460	2	h1SMcG0000727	h1SMcT0000727.1	12898
chr1_h1	29090011	29090011	1	*	wt_H3K4me3_peak_581	304	.	Intron (h1SMcT0000738.1/h1SMcG0000738, intron 12 of 12)	1	29087273	29100115	12843	2	h1SMcG0000738	h1SMcT0000738.1	10104
chr1_h1	29267184	29267184	1	*	wt_H3K4me3_peak_590	720	.	Promoter (<=1kb)	1	29267031	29287320	20290	1	h1SMcG0000745	h1SMcT0000745.2	153
chr1_h1	29418194	29418194	1	*	wt_H3K4me3_peak_598	39	.	Intron (h1SMcT0000749.1/h1SMcG0000749, intron 6 of 7)	1	29408461	29430721	22261	2	h1SMcG0000749	h1SMcT0000749.1	12527
chr1_h1	29655033	29655033	1	*	wt_H3K4me3_peak_606	118	.	Promoter (1-2kb)	1	29627763	29656511	28749	2	h1SMcG0000757	h1SMcT0000757.1	1478
chr1_h1	29745691	29745691	1	*	wt_H3K4me3_peak_613	119	.	Intron (h1SMcT0000761.1/h1SMcG0000761, intron 2 of 3)	1	29734619	29763100	28482	1	h1SMcG0000761	h1SMcT0000761.1	11072
chr1_h1	29783902	29783902	1	*	wt_H3K4me3_peak_614	54	.	Distal Intergenic	1	29796611	29803986	7376	1	h1SMcG0000763	h1SMcT0000763.1	-12709
chr1_h1	30031457	30031457	1	*	wt_H3K4me3_peak_625	177	.	Distal Intergenic	1	29994587	30021712	27126	2	h1SMcG0000772	h1SMcT0000772.2	-9745
chr1_h1	30247233	30247233	1	*	wt_H3K4me3_peak_629	121	.	Distal Intergenic	1	30289212	30293948	4737	2	h1SMcG0000780	h1SMcT0000780.1	46715
chr1_h1	31272432	31272432	1	*	wt_H3K4me3_peak_654	2288	.	Promoter (2-3kb)	1	31273685	31275140	1456	2	h1SMcG0000805	h1SMcT0000805.1	2708
chr1_h1	31391565	31391565	1	*	wt_H3K4me3_peak_658	201	.	Exon (h1SMcT0000807.1/h1SMcG0000807, exon 2 of 2)	1	31385279	31385770	492	2	h1SMnG0001326	h1SMnT0001326.1	-5795
chr1_h1	31489294	31489294	1	*	wt_H3K4me3_peak_660	111	.	Intron (h1SMcT0000812.1/h1SMcG0000812, intron 4 of 9)	1	31471887	31500887	29001	2	h1SMcG0000812	h1SMcT0000812.1	11593
chr1_h1	33299700	33299700	1	*	wt_H3K4me3_peak_705	218	.	Promoter (<=1kb)	1	33299586	33306133	6548	1	h1SMnG0001409	h1SMnT0001409.1	114
chr1_h1	33300274	33300274	1	*	wt_H3K4me3_peak_706	150	.	Promoter (<=1kb)	1	33299586	33306133	6548	1	h1SMnG0001409	h1SMnT0001409.1	688
chr1_h1	33480694	33480694	1	*	wt_H3K4me3_peak_712	72	.	Promoter (2-3kb)	1	33483616	33566188	82573	1	h1SMcG0000878	h1SMcT0000878.1	-2922
chr1_h1	33571276	33571276	1	*	wt_H3K4me3_peak_713	479	.	Promoter (2-3kb)	1	33574224	33574700	477	1	h1SMnG0001423	h1SMnT0001423.1	-2948
chr1_h1	33627264	33627264	1	*	wt_H3K4me3_peak_714	195	.	Distal Intergenic	1	33634911	33658874	23964	1	h1SMcG0000880	h1SMcT0000880.1	-7647
chr1_h1	33838534	33838534	1	*	wt_H3K4me3_peak_720	127	.	Promoter (2-3kb)	1	33841405	33873119	31715	1	h1SMcG0000887	h1SMcT0000887.1	-2871
chr1_h1	34210372	34210372	1	*	wt_H3K4me3_peak_730	1403	.	Distal Intergenic	1	34195194	34197567	2374	1	h1SMcG0000898	h1SMcT0000898.2	15178
chr1_h1	34409329	34409329	1	*	wt_H3K4me3_peak_735	302	.	Distal Intergenic	1	34417003	34417980	978	1	h1SMcG0000903	h1SMcT0000903.1	-7674
chr1_h1	34462632	34462632	1	*	wt_H3K4me3_peak_738	78	.	Promoter (<=1kb)	1	34461850	34472523	10674	1	h1SMcG0000906	h1SMcT0000906.3	782
chr1_h1	34879576	34879576	1	*	wt_H3K4me3_peak_748	36	.	Promoter (1-2kb)	1	34881277	34893554	12278	1	h1SMcG0000915	h1SMcT0000915.5	-1701
chr1_h1	34896611	34896611	1	*	wt_H3K4me3_peak_749	41	.	Distal Intergenic	1	34881277	34893554	12278	1	h1SMcG0000915	h1SMcT0000915.5	15334
chr1_h1	34899049	34899049	1	*	wt_H3K4me3_peak_750	121	.	Distal Intergenic	1	34881277	34893554	12278	1	h1SMcG0000915	h1SMcT0000915.5	17772
chr1_h1	34918015	34918015	1	*	wt_H3K4me3_peak_752	329	.	Exon (h1SMcT0000916.1/h1SMcG0000916, exon 6 of 8)	1	34902782	34938729	35948	2	h1SMcG0000916	h1SMcT0000916.1	20714
chr1_h1	35192022	35192022	1	*	wt_H3K4me3_peak_760	1420	.	Distal Intergenic	1	35187517	35188269	753	2	h1SMcG0000923	h1SMcT0000923.1	-3753
chr1_h1	35382521	35382521	1	*	wt_H3K4me3_peak_767	113	.	Distal Intergenic	1	35398466	35446246	47781	1	h1SMcG0000930	h1SMcT0000930.1	-15945
chr1_h1	36200186	36200186	1	*	wt_H3K4me3_peak_783	503	.	Distal Intergenic	1	36160175	36160943	769	1	h1SMnG0001544	h1SMnT0001544.1	40011
chr1_h1	36366300	36366300	1	*	wt_H3K4me3_peak_787	480	.	Intron (h1SMcT0000954.1/h1SMcG0000954, intron 3 of 3)	1	36345101	36384784	39684	2	h1SMcG0000954	h1SMcT0000954.1	18484
chr1_h1	36562311	36562311	1	*	wt_H3K4me3_peak_791	264	.	Promoter (1-2kb)	1	36561172	36562236	1065	1	h1SMcG0000959	h1SMcT0000959.1	1139
chr1_h1	36743897	36743897	1	*	wt_H3K4me3_peak_799	1222	.	Intron (h1SMcT0000966.1/h1SMcG0000966, intron 2 of 2)	1	36733550	36739867	6318	2	h1SMcG0000965	h1SMcT0000965.1	-4030
chr1_h1	37060102	37060102	1	*	wt_H3K4me3_peak_807	148	.	Intron (h1SMcT0000976.1/h1SMcG0000976, intron 13 of 21)	1	37046618	37090541	43924	2	h1SMcG0000976	h1SMcT0000976.1	30439
chr1_h1	37113962	37113962	1	*	wt_H3K4me3_peak_809	124	.	Distal Intergenic	1	37123190	37124778	1589	2	h1SMcG0000977	h1SMcT0000977.1	10816
chr1_h1	37467413	37467413	1	*	wt_H3K4me3_peak_820	34	.	Distal Intergenic	1	37482968	37483289	322	2	h1SMnG0001612	h1SMnT0001612.1	15876
chr1_h1	38215178	38215178	1	*	wt_H3K4me3_peak_831	619	.	Distal Intergenic	1	38192240	38192822	583	1	h1SMnG0001637	h1SMnT0001637.4	22938
chr1_h1	38269923	38269923	1	*	wt_H3K4me3_peak_832	47	.	Promoter (<=1kb)	1	38269133	38270445	1313	2	h1SMcG0001002	h1SMcT0001002.1	522
chr1_h1	39104684	39104684	1	*	wt_H3K4me3_peak_849	1461	.	Distal Intergenic	1	39100043	39100620	578	1	h1SMnG0001680	h1SMnT0001680.1	4641
chr1_h1	39243063	39243063	1	*	wt_H3K4me3_peak_853	1583	.	Intron (h1SMnT0001687.3/h1SMnG0001687, intron 2 of 2)	1	39258440	39260003	1564	1	h1SMcG0001028	h1SMcT0001028.1	-15377
chr1_h1	39247928	39247928	1	*	wt_H3K4me3_peak_854	646	.	Intron (h1SMnT0001687.3/h1SMnG0001687, intron 2 of 2)	1	39258440	39260003	1564	1	h1SMcG0001028	h1SMcT0001028.1	-10512
chr1_h1	39272780	39272780	1	*	wt_H3K4me3_peak_856	48	.	Intron (h1SMnT0001687.3/h1SMnG0001687, intron 2 of 2)	1	39258440	39260003	1564	1	h1SMcG0001028	h1SMcT0001028.1	14340
chr1_h1	39312346	39312346	1	*	wt_H3K4me3_peak_857	35	.	Promoter (<=1kb)	1	39312196	39345419	33224	1	h1SMcG0001029	h1SMcT0001029.1	150
chr1_h1	39669351	39669351	1	*	wt_H3K4me3_peak_863	94	.	Distal Intergenic	1	39675628	39676884	1257	2	h1SMcG0001039	h1SMcT0001039.1	7533
chr1_h1	39676587	39676587	1	*	wt_H3K4me3_peak_864	43	.	Promoter (<=1kb)	1	39675628	39676884	1257	2	h1SMcG0001039	h1SMcT0001039.1	297
chr1_h1	40056446	40056446	1	*	wt_H3K4me3_peak_873	80	.	Promoter (<=1kb)	1	40055246	40056573	1328	2	h1SMcG0001045	h1SMcT0001045.1	127
chr1_h1	40307719	40307719	1	*	wt_H3K4me3_peak_878	1230	.	Distal Intergenic	1	40273535	40277732	4198	1	h1SMcG0001053	h1SMcT0001053.3	34184
chr1_h1	40797565	40797565	1	*	wt_H3K4me3_peak_889	96	.	Distal Intergenic	1	40714461	40790861	76401	2	h1SMcG0001063	h1SMcT0001063.2	-6704
chr1_h1	41192212	41192212	1	*	wt_H3K4me3_peak_900	177	.	Intron (h1SMcT0001074.1/h1SMcG0001074, intron 4 of 14)	1	41188296	41206352	18057	1	h1SMcG0001074	h1SMcT0001074.1	3916
chr1_h1	41471670	41471670	1	*	wt_H3K4me3_peak_909	105	.	Intron (h1SMcT0001083.2/h1SMcG0001083, intron 3 of 3)	1	41459186	41474199	15014	1	h1SMcG0001083	h1SMcT0001083.3	12484
chr1_h1	41939316	41939316	1	*	wt_H3K4me3_peak_924	85	.	Distal Intergenic	1	41927123	41933989	6867	2	h1SMcG0001097	h1SMcT0001097.1	-5327
chr1_h1	42445498	42445498	1	*	wt_H3K4me3_peak_938	109	.	Promoter (<=1kb)	1	42443181	42445671	2491	2	h1SMcG0001112	h1SMcT0001112.1	173
chr1_h1	43254450	43254450	1	*	wt_H3K4me3_peak_950	687	.	Distal Intergenic	1	43234281	43235457	1177	2	h1SMcG0001138	h1SMcT0001138.2	-18993
chr1_h1	43645472	43645472	1	*	wt_H3K4me3_peak_958	385	.	Distal Intergenic	1	43608178	43609315	1138	1	h1SMcG0001149	h1SMcT0001149.1	37294
chr1_h1	43791015	43791015	1	*	wt_H3K4me3_peak_962	104	.	Promoter (<=1kb)	1	43790665	43791301	637	2	h1SMnG0001900	h1SMnT0001900.1	286
chr1_h1	43955531	43955531	1	*	wt_H3K4me3_peak_966	235	.	Intron (h1SMcT0001156.1/h1SMcG0001156, intron 4 of 4)	1	43941870	43957825	15956	1	h1SMcG0001156	h1SMcT0001156.4	13661
chr1_h1	44242984	44242984	1	*	wt_H3K4me3_peak_972	2624	.	Distal Intergenic	1	44230930	44239534	8605	2	h1SMnG0001925	h1SMnT0001925.1	-3450
chr1_h1	44429888	44429888	1	*	wt_H3K4me3_peak_976	116	.	Promoter (1-2kb)	1	44423067	44428626	5560	2	h1SMcG0001170	h1SMcT0001170.1	-1262
chr1_h1	45979556	45979556	1	*	wt_H3K4me3_peak_1011	195	.	Intron (h1SMcT0001215.1/h1SMcG0001215, intron 3 of 5)	1	45948479	45984440	35962	1	h1SMcG0001215	h1SMcT0001215.1	31077
chr1_h1	46133379	46133379	1	*	wt_H3K4me3_peak_1015	73	.	Promoter (<=1kb)	1	46089754	46134122	44369	2	h1SMcG0001221	h1SMcT0001221.1	743
chr1_h1	46133993	46133993	1	*	wt_H3K4me3_peak_1016	147	.	Promoter (<=1kb)	1	46089754	46134122	44369	2	h1SMcG0001221	h1SMcT0001221.1	129
chr1_h1	46693199	46693199	1	*	wt_H3K4me3_peak_1032	328	.	Distal Intergenic	1	46696331	46718824	22494	1	h1SMcG0001233	h1SMcT0001233.1	-3132
chr1_h1	46769086	46769086	1	*	wt_H3K4me3_peak_1036	545	.	Downstream (<=300bp)	1	46764726	46769041	4316	1	h1SMcG0001236	h1SMcT0001236.2	4360
chr1_h1	47355745	47355745	1	*	wt_H3K4me3_peak_1049	142	.	Promoter (<=1kb)	1	47313819	47356042	42224	2	h1SMcG0001250	h1SMcT0001250.1	297
chr1_h1	47564161	47564161	1	*	wt_H3K4me3_peak_1058	328	.	Promoter (<=1kb)	1	47563922	47564507	586	1	h1SMcG0001257	h1SMcT0001257.1	239
chr1_h1	48067123	48067123	1	*	wt_H3K4me3_peak_1068	726	.	Distal Intergenic	1	48063681	48064481	801	1	h1SMcG0001272	h1SMcT0001272.1	3442
chr1_h1	48377524	48377524	1	*	wt_H3K4me3_peak_1080	136	.	Intron (h1SMcT0001280.1/h1SMcG0001280, intron 4 of 12)	1	48359265	48414383	55119	1	h1SMcG0001280	h1SMcT0001280.2	18259
chr1_h1	48938811	48938811	1	*	wt_H3K4me3_peak_1093	386	.	Promoter (<=1kb)	1	48938719	48945637	6919	1	h1SMcG0001291	h1SMcT0001291.2	92
